title,rank,report
아바타: 물의 길,9,음~중간엔 몰입도가 좀 느슨해져서 시계를 자꾸 쳐다봤었는데 막판엔 다시 쫀쫀하게 괜찮아졌어요!살짝 엉성한 스토리를 아름다운 영상미가 커버를 해줬고!! 우리 삶의 고향에 대한 사랑과 가족애와 인간애에 눈물이 났었네요! 나름 좋았어요!! 아름다운 그 해변을 뛰어다녀보고 싶고! 또 바다 속을 유영해보고 싶었답니다!!!    관람전 꼭 화장실 들러 깨끗이 비우고 입장하시길 강추합니다!!!  난 가고 싶지 않은데~쩝~~ 하시는 분도 아묻따 일단 가셔서 비우세요 ㅋ 3시간 아주 깁디다~~ 
아바타: 물의 길,10,아름다운 영상미에 묵직한 메세지..최고입니다♡
파프리카,10,이 영화는 &amp;#39;누구를 대상으로 사랑을 하는가&amp;#39;에 대한 러브 라인을 보는 게 아니라 꿈으로 표현되는 &amp;#39;무의식&amp;#39;에 대해 &amp;#39;자신이 얼마나 솔직해졌는가&amp;#39;에 대한 거임... 이 영화를 보고 오타쿠를 사랑한 여주에 대해서 평점을 내리는 것은 영화를 볼 줄 모르는 사람이라는 걸 증명해줄 뿐 ㅋㅋ
아바타: 물의 길,10,3시간이 어떻게 가는줄모르고 봤음.쵝오
아바타: 물의 길,1,첫10분지나면 두시간동안 경치구경만 실컷 하네요 
비포 선라이즈,10,"오래된 영화지만 영상미와 그 속에서도 시들시 않는 배우들, 묘하게 웃음을 자아내는 스토리가 인상 깊었습니다. 덕분에 제 옆의 그녀와 비포선라이즈까지 행복하게 있을 수 있었습니다. 감독님 감사합니다."
아바타: 물의 길,8,Cg 보는맛 그외는 그닥
아바타: 물의 길,1,영상미도 1편보다 못 하고 스토리 개같이 망했는데 10점ㅇㅈㄹ 카메론 월클인 척 하더니 거품 다 빠졌쥬? 타이타닉 리멬이나 찍으셈ㅋㅋㅋㅋ 3시간짜리 똥쓰레기 잘 봤고 지인들한테 아바타는 일단 거르라고 함ㅅㄱ
아바타: 물의 길,6,쓸때없이 늘어지는 러닝타임과 뻔한 전개. 애니메이션과 영화를 나누는 기준은 무엇인지?
아바타: 물의 길,8,처음에 우와했던 화면은 좀 지나면 익숙해지고..  그 나머지 시간을 채우는건 스토리가 되어야하는데 그게 안됨..  1편 영화관에서만 다섯번 봤는데 2편은 다시 안볼듯ㅜ 
아바타: 물의 길,1,"영상미 하나로 보는 영화. 나는 인간이므로 처음부터 끝까지 인간을 응원할 수밖에 없었다. 아바타를 만들 생명공학으로 나비족을 전멸시킬 바이러스 하나를 못만드냐? 우주에서 정찰한 나비 거주지에 아예 지표면을 날려버리는 궤도폭격을 할 생각은 안했나? 가만보면 지는걸 즐기는것이 틀림없다. 1편에서는 여론을 의식해서 인도적 대응을 한다고 시간낭비하다가 쫒겨난 판에, 무려 지구가 망하고 있는 와중에 새 정착지로 삼을 판도라의 나비족 포함 유해 생물 박멸에 소홀한 것이 안타까울 뿐이다. "
아바타: 물의 길,8,"시각,음향으로 22-23 최고 일듯. 다만 담고 싶었던 내용이 많았을까 개연성은 좀 부족한점이 아쉽습니다"
아바타: 물의 길,10,와 대박 사건 왕창 재밌농
자백,8, 볼만 합니다..   리메이크 작
아바타: 물의 길,10,이거 솔직히 판도라행성가는 우주항공티켓비랑 나비족들 섭외출연료빼고 cg에돈쓴티 하나도 안나는데 뭔제작비가 조단위란건지 도통 이해할수없는영화.
아바타: 물의 길,10,다 좋았어요 역시 기대를 저버리지않네요
아바타: 물의 길,10,진짜 경이로움 제임슨 갓메론ㅜㅜㅠㅠ최고
아바타: 물의 길,9,전투씬이 명품인 영화 총격전과 대사만으로도 8점이며 1점이 추가된 이유는 스토리 덕분이다.
아바타: 물의 길,10,보고난후 감동이 몇일째 가시지 않네요.
본즈 앤 올,10,나오는 사람 모두 연기력이 독하다. 그리고 두 주인공의 사랑은 지독하다
아바타: 물의 길,10,재밌네 어벤따위랑은 비교 불가
아바타: 물의 길,10,영상미가 아름다웠습니다스토리보단 황홀한 영상미에 빠졌어요
아바타: 물의 길,10,너무 가족들끼리 보기도 좋고 보는내내 한순간도 지루하지도 않고 재밌었습니다 돈이 하나도 안 아까울정도로 영화의 교훈도 있고 정말 올해 봤던 영화중에 재일 재밌었습니다
아바타: 물의 길,10,진짜 너무 재밌음  ㅠㅠㅠㅠ
기예르모 델토로의 피노키오,9,후반으로 갈수록 점점 더 재밌었다. 전쟁의 폐해와 아동학대도 다루고 있어서 생각할 지점이 많았다.
에브리씽 에브리웨어 올 앳 원스,10,스포를 어떻게 해야할지 감도 안 오는 영화
아바타: 물의 길,1,시간이 아깝다는말을 세삼느끼네요
아바타: 물의 길,10,”집에 가고싶어요“&amp;lt;-다들 뭔지 아시죠?  진짜 최근에 본 영화중에서 짱 너무 슬프고 재밌어요 아바타는 무조건 4D
아바타: 물의 길,10,뜨거운 가족애그리고 인간들의 잔인함과 환경에 대한 경각심을 일깨워주는 감동이 있는 영화전투신 그리고 각종 상상력이 묻어나오는 여러 장면이 그 자체로 감동인 영화
아바타: 물의 길,10,
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",10,걍 보면서 울고울고울고움
아바타: 물의 길,10,
쥬라기 월드: 도미니언,1,너무 뻔해서 재미가 없었구요대사도 연출 장면도 군데군데 진짜 오글거렸습니다. 
아바타: 물의 길,10,째미있땅 진짜 째미있땅
아바타: 물의 길,10,눈을 어디서 깜박여야 하는지 모르겠는 영화. 3시간동안 눈을 계속 뜨고 있으려니 나올때 눈이 빠질것 같았다..
아바타: 물의 길,1,별반개도 아깝네요 너무 기대하고 봤음 ㅠㆍㅠ 아바타1의 반의반도 재미나 감동이 없음
아바타: 물의 길,10,"진짜 너무 좋았습니다 192분이라는 시간이 짧게 느껴졌습니다. 영상미는 말할 것도 없고, 현실사회에 대한 비판도 들어가있어서 보면서 많이 생각하게 되었습니다. 그린피스가 좋아할 것 같네요ㅎㅎ"
아바타: 물의 길,10,최고의 영상미를 선사 감동의 장면들
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",8,존나 슬픔 ㅜㅠ 진짜 살짝 내용이 빨리 흘러가긴 하는데 너무 슬픔 꼭 버셈 ㅠㅠ
아바타: 물의 길,10,와 끝에 울컥했다 키리가 캐리했다
아바타: 물의 길,10,너무 아름다워서 눈을 뗄수가 없음 세시간이 마치 삼십분으로 느껴지는 마법같은 영화
아바타: 물의 길,10,미쳒음 그냥 3번이상은 무조건 볼 영화
아바타: 물의 길,10,
이완 맥그리거의 인질,6,
아바타: 물의 길,10,돌비시네마 3D 4K HDR HFR 상영관에서 관람했습니다개인적으로 4K HDR 2D 상영관이 있는지 모르겠지만 거기서 관람하길 추천합니다.단점1. HFR 기술로 높은 프레임 레이트를 구현했지만 영화 모든 컷씬이 높은 프레임을 유지하는게 아닌 들쭉날쭉한 현상을 보여줬는데 상영관 문제인지 영화문제인지는 모르겠습니다만 영화를 집중하는데 방해요소로 작용했습니다.2. 3D는 매우 신비로운 경험을 선사하지만 시간이 지날수록 콧등이 아파오는 점과 4K HDR 영상미를 3D안경이 무마시켜버리는 단점이 존재합니다.장점1. 영상미가 역시 남다릅니다. 환상적인 해양 환경을 보여주며 CG라는 느낌보다는 판도라의 세계를 탐험하는 기분을 선사하고 아름답다고 말할 수 있습니다.2. 영화 런타임이 길지만 지루하지 않습니다. 스토리가 좋다는 뜻은 아니지만 나쁘지도 않습니다.
트레인스포팅,9,
소설가의 영화,7,일단 포인트 회수. 추후 작성 예정.
쉘로우 그레이브,7,
아바타: 물의 길,10,배리굿배리굿베베리굿
탄생,10,기대안하고 봤다가 감동이었네요~밋밋한 스토리를 짜임새있게 만든듯해요
아바타: 물의 길,10,이게 10점이 아니면 뭐가 10점임
내 머리 속의 지우개,10,너무너무 슬프고 감동적이고 가슴이 찡한 영화 입니다….보고 계속 울었네요
아바타: 물의 길,9,"정성으로 빚어낸 최고의 영상미, 전형적이며 직선적이지만 다채로운 캐릭터와 공간의 디테일로 가득 채운 스토리, 완급조절과 감정의 스펙터클로 방점을 찍어낸 연출력. 카메론은 아직 죽지 않았다."
아바타: 물의 길,10,말해뭐해~~설명이 필요없는 대작~~
탄생,10,
데시벨,5,좋은 배우들에 비해 아쉬운 내용이었어요.
아바타: 물의 길,10,3시간동안 지루하지 않게 너무 재밌게 잘 봤습니다 ㅠㅠㅠ 
아바타: 물의 길,10,
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",7,이것이바로일본식신파영화이다참재밌게보았다
밀양,10,잘만든 영화 &amp;#34;밀양&amp;#34;...같이 공유 하고 싶은 영화
아바타: 물의 길,8,영상미는진짜지리지만스토리가매우지루한영화
아바타: 물의 길,10,긴 러닝타임 동안 화장실 가고 싶다는 생각이 들지 않았고 이런 류의 영화를 좋아하는 사람이라 너무 재밌게 봤었네요
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",10,별로 잘 안우는데 울음..
아바타: 물의 길,10,정말 기대하고 봤는데 기대 이상이었습니다 정말 CG도 미쳤고 나비족? 우주 어딘가에 살아있을 것만 같았어요 3시간이 전혀 지루하거나 길게 느껴지지 않았고 눈 깜짝할 사이에 영화가 끝났습니다 정말 올해 본 영화중에 최고의 영화인 것 같습니다
아바타: 물의 길,10,주인공 아들죽어서 가족들이 우는 장면에서 이태원 희생자들이 생각나네요 
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",7,친구들이 엄청 슬프다고 해서 좀 기대하고 봤는데  스토리가 너무 억지임 갑자기 죽는다고..? 이생각듦 초반에서 중반까지는 좀 지루하고 후반에 슬픔 굳이 내돈내고 보고싶진 않음
국경의 남쪽,7,신파가 필연인 내용에 돋보이는 배우들 연기
파워 오브 도그,9,반전 없이 엔딩을 향한 과정을 섬세하고 친절하게 보여주는 영화. 다만 그 과정의 우아함과 인물들의 심리적 긴장감을 통해 몰입감을 준다. 직접적 야한 장면은 없음에도 불구하고 연출이 매우 섹슈얼리티 하다.
아바타: 물의 길,10,아바타는 늘 나의 기대를 높이게 하는 뛰어난 작품
아바타: 물의 길,10,너무 재밌음 이정도는 되야 돈이 안아깝지. 영화상영 시간이3시간이 넘는데 주차는 3시간까지라 주차비나오는거 어이없음
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",2,감동을 파괴하는 요소가 너무 많음후반부 급발진은 물론이고 남주 가정사나 남주 누나얘기 같은 비중이 클 필요가 없는 부분이 너무 시간을 오래 잡아먹음 남주 여주 얼굴이 다 한 영화임 그냥 얼굴감상용으로 보기 좋은영화인듯 스토리 상관없는 사람들한테 추천함눈물 한방울도 안났고 마지막 남주 스토리 나올 때 개ㅐㅐ급발진해서 그때부터 뇌빼고 봄
아바타: 물의 길,10,"초반은 반가움 중반 스토리는 지루하지만 외계인 다큐보는 것처럼 신기한 비주얼에 버틸 수 있었음 마지막에는 뻔하지만 cg로 감동을 납득시켜 버려서,,, 납득 당하고 말았습니다 아바타 후속편들도 계속 보면서 눈호강하고 싶기 때문에 만점 드립니다 그냥 제작자들의 노고가 눈에 보임"
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",10,원작을 보고 봤지만 후반에 는울음이 멈추지가 않아요...
"나는 내일, 어제의 너와 만난다",10,마지막에 울었습니다..감독이 오늘밤 세계에서 이사랑이 없어진다면?이란 영화 감독이더라고요..!엄청슬프다던데 이영화도 진짜 슲퍼요 ㅠㅠ
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",10,영화관 사람들이랑 다같이 울었음…
몽상가들,6,전.. 잘 모르겠습니다
아바타: 물의 길,6,기대이하 뭔 해양 다큐멘터리
아바타: 물의 길,10,긴 러닝타임이 결코 길게 느껴지지 않았던 영화자연과 가족의 소중함도 같이 느낄수 있었던 시간이었어요
신비아파트 극장판 차원도깨비와 7개의 세계,10,감동적임...오래 여운남을듯
아바타: 물의 길,10,스크린을 찌고 들어가고 싶었다. ㅋ
아바타: 물의 길,10,살면서 이런영화 다시는 못볼듯
아바타: 물의 길,10,지구가 망하면 자살하자
올빼미,8,시간 순삭 ㅠㅠ 꼭보세요
아바타: 물의 길,6,퀄리티 높은 외계 파워레인저 보는 느낌
에브리씽 에브리웨어 올 앳 원스,1,토나옵니다. ㅠ ㅠ 보지 마세요.
아바타: 물의 길,2,영상미 빼고는 지루함. 미국적인 영화...
베킷,8,선민영 바보래요 바보래요
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",10,진짜 너무 슬퍼서 친구랑 펑펑 울었네요..
아바타: 물의 길,10,"13년을 기다리신 분들은 그 감동이 배가 되었다해도 과언이 아닐 듯 합니다. 스토리 부분에서는 시즌 3,4,5를 어떻게 식상하지 않게 풀어나갈지 걱정도 되고, 기대하는 바도 많지만 단언컨대 영상미 하나만큼은 최고였습니다. I see you라는 명대사를 만들어주셔서 감사합니다."
아바타: 물의 길,9,CG나 연출 면에서는 정말 압도적입니다.일부 스토리가 단순 가족애에 치중되어 있다는 의견도 있지만 그 주제에 대해서 워낙 감동적으로 다뤘기에 보시는 걸 추천합니다! 3시간동안 지루하지는 않았어요 
아바타: 물의 길,10,1편과 같은 큰 충격은 없었지만 여운이 있는 영화임. 신기하게 타이타닉 터미네이터가다 들어 있었음~~ 
아바타: 물의 길,8,족장님이 너무 착하네...엄격하다면서 영화내내 제이크말 잘들어줌ㅋㅋ
아바타: 물의 길,10,말이 필요없다.2000만
아바타: 물의 길,9,Cgㄷㄷㄷㄷ미쳤네
아바타: 물의 길,10,1처럼 재밋어요. 꼭보세용
아바타: 물의 길,10,역시 클라쓰는 영원하다 
아바타: 물의 길,10,이상하게 집에두고온 네살딸하고 한살아들이 떠오르면서 가족의 중요함을 느낄수있었음. 감동감동. 영상미도 굿
아바타: 물의 길,10,당신이 원하던 모든장르가 모여있습니다 ㄹㅇ.이건 ㅇㅈ
아바타: 물의 길,10,진짜 말이 필요없는 명작이다
아바타: 물의 길,10,"메가박스, CGV 두번 봤는데메가박스가 더 압도적인 영상미를 볼수 있음외계행성까지 날라가 수중촬영까지 돈많이 들었겠다..."
헌트,6,재밌게 봤습니다만. 배우들 대사가 안 들려요ㅜㅜ
아바타: 물의 길,10,오랜기다린 만큼 충분히 나를 만족시켜준 영화 3편까 내놔라 빨리~
베킷,6,권우람 더 바보오오오오
아바타: 물의 길,8,형만한 아우는 없다고 스토리나 감동적인 몰입감등은 전편이 훨씬 나은것 같은데 3d 영상미는 가히 압도적이네요 그점만으로도 볼만한 가치는 있읍니다 스토리적으로 볼땐 3시간은 좀 길고 지루한면이 있네요
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",10,"인스타로 원작 소설의 광고를 하도 많이 봐서 영화를 보면서 많이 울었다는 내용이 과장인줄 알았다, 하지만 영화 내용은 진짜로 슬프고 아름다운 내용이었다"
아바타: 물의 길,2,제작비의 99.9999퍼센트는 영상이랑 회식비로 쓴게 분명함. 시나리오는 80년대 싸구려 3류 홍콩 악당영화 같고 억지 가족애와 억지 인간혐오를 강요하는 인생의 3시간을 가장 비효율적으로 버리는 방법. 차라리 똥싸면서 3시간 있는게 나을듯.
아바타: 물의 길,10,CG 미쳤다 너무 힐링이고 예뻐서 눈물나옴 
아바타: 물의 길,1,정말로  구련을  잘했습니다 이건  인정 합니다하지만 년화 내용을  너무  길게  만든것  같아  지루함이  느껴졌 습니다.  
아바타: 물의 길,10,아바타1 생각이  전혀안날만큼 좋았습니다3d로 보길잘했다고 느낄만큼 만족도가 높았고타이타닉이나  터미네이터 느낌도 간혹생각이날장면도있어 흥미로웠습니다 다만 12세관람가치곤 전투신에서 잔혹한장면이 아주 조금있었지만 영상미로 충분히 대체가능합니다재관람의사가있지만  2d로는 절대안볼듯합니다
아바타: 물의 길,4,2d의 작은 영화관에서 봤더니 졸려서 잠들었음... 3d 4d아님 볼 게 없는 ㅠ 
아바타: 물의 길,7,카메론은 변태가 확실하다.
황후화,8,스케일이 대륙급 ㄷㄷ 화면가득한 18K 순금러쉬와 궁녀들의 젖가슴이 압권. 스토리를 영상미로 올킬해버리는 신기한 영화
아바타: 물의 길,10,역시나 적시나 존시나~
올빼미,8,인조가 저승에서 보고 대분노하여 올라올듯… 역사에 죄짓는 급의 역사왜곡 영화. 스토리는 재밌긴 함.
아바타: 물의 길,10,지루하지 않았던 3시간
스탈린그라드: 최후의 전투,7,"눈덮인 벌판, 2차대전의 참혹함을 보여주고있다. 전쟁의 도발자는 어떠한 이유로도, 이유없다. "
아바타: 물의 길,8,아바타 보려고 돌비 처음 가봤는데 아바타도 아바타지만 돌비에 더 감동 받아 온 듯돌비 3D말고 돌비 2D상영관이 있다면 한 번 더 보고 싶긴 하네요
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",10,휴지 꼭 챙겨가세요… 맘이 힘들다… 
아바타: 물의 길,10,"이건 진짜 3d로 봐야함. 스토리 지루하다는 건 모르겠다. 어떤 부분에서 지루했다는건지는 모르겠지만, 아바타의 서사 하나하나가 세세하게 표현되어 오히려 좋았다! 3시간이 30분처럼 느껴졌고, 끝나지않았으면 하는 생각이었다. 아바타1을 무조건 봐야 더 재밌게 볼 수 있고 2d보단 3d로 봐야 아바타를 완전히 즐길 수 있다. 돈이 아깝지않았다. 가족의 소중함을 알 수 있는 영화!크리스마스 최고의 선물, 곧 2회차 보러 다시 갑니다!"
아바타: 물의 길,10,영상미 대박..!!보는 내내 눈이 즐거운 영화
아바타: 물의 길,10,진짜 강추합니다...
올빼미,10,끝날때까지 숨죽이고 긴장된 상태로 영화를 봤으며 유해진의 왕도 정말 괜찮더라 ㅋㅋㅋ
아바타: 물의 길,10,너무 재밌음 영상 보느라 3시간이 가는줄 모르겠음 3D안경 쓰면 너무 어두워져서 답답한거 빼면 완전 대박
아바타: 물의 길,4,극찬하는 영상미 조차도 부분부분 구멍이 있는게 느껴졌음. 초반 열차씬 비롯하여 뭔가 게임 그래픽 같은 느낌이 드는 파트가 꽤 많았음. 특정 부분은 자연스러운데 특정 부분은 게임cg처럼 영화 같지 않은 느낌도 꽤 많았음.다들 지적하는 스토리는 말할 필요도 없이 ....
스마일,10,이 정도면 수작이다오랫만에 잼나게 쫄깃하게 영화를 봤네
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",10,"이와이 월드의 찬란한 유산. 약간의 작위적인 설정만 넘어간다면 더할나위 없이 훌륭한 멜로영화. 여자들아. 영화 다 보고 나오면서 옆에 남친이 괜히 똑똑한 척하며, 너무 비과학적이라 전혀 와닿지 않았다고 말한다면, 그런 눈치없는 녀석은 빨리 차버리는게 좋을거야."
아바타: 물의 길,6,"1편의 사람이 아바타가 된다는 스토리가 당시에는 혁신적이었는데 2편의 스토리는 그냥 가족애, 평대로 스케일도 작고 스토리도 빈약하다더니 확인하고 옴. 영상미는 3D로 봐야 좋을 듯. "
아바타: 물의 길,10,진짜 너무 너무 재미있어요
몽상가들,7,혼란스러움과 아름다움의 묘한 조화.
컴백홈,2,주인공 목소리는 허스키도 아니고 뭐단가요? 영화도 아니고 그냥 코믹도 아니고?
아바타: 물의 길,1,너무 길어서 보기 힘들다 스토리도 1과 달라진점을 모르겠고 필요없는 얘기가 너무 많아서 루즈한다 다음내용이 너무나도 예상대로라 3시간 내내 지루했음
가버나움,10,마지막 찌프린 인상에서 웃는 인상으로 이 세상 모든 자인의 삶이 이와같기를
아바타: 물의 길,6,볼만 했어용! 약간 지루하긴 햇네요애들이랑 같이 보면 재밋을것같아요
아바타: 물의 길,10,아바타 1안보고 바로 아바타2본 사람인데요 보는데 문이정말즐거웠습니다
아바타: 물의 길,10,울었다... 아름다웠다 정말... 3시간이 벌써?... 박수와 경의를 표한다.
아바타: 물의 길,2,아바타1이 재미있고 아바타2는 재미 읍써
아바타: 물의 길,10,Dolby Cinema 극장에서 꼭 보세요
업,9,칼과 엘리의 오프닝이 나에게는 이 영화의 전부.
살인의뢰,8,사형제도만 있으면 뭐함..시행을 안 하는데..확실한 사형수들은 제발 사형 좀 시킵시다..언제나 늘 남아 있는 사람들의 몫...
아바타: 물의 길,5,쥬라기공원2 보는줄 알았네
아바타: 물의 길,10,"연출이나 cg가 너무 좋았고, 스토리는 평범했으나 지루하지 않았다고 생각함"
아바타: 물의 길,10,사실 특별한 스토리 보다는 판도라 행성을 체험하고 온 듯한 기분이 들었다. 1편이 땅위의 세계를 본 거였다면 2편은 물의 세계를 구경하는 내용이 주를 이룬다. 관람 하는 내내 눈이 너무 황홀해서 그것만으로도 10점 만점중에 9.5점을 주었다ㅋ
